"USGS_NHD_ComID","NWS_8_CHAR_lid","A_H_P","USGS","Hydrolog_Unit_Code","RFC","FORECAST_GROUP","NWS_HSA","T _Y_P","FI_P_ST","ST_AB","NW_S_ST","A_T_V","R_E_F","H_D_N","DRAINAGE_AREA_MI2","NWS LAT_dd_mm_ss","NWS_LONG_ ddd_mm_ss","USGS_LAT_DEG","USGS_LONG_DEG","C_A_C","COORD","ALTITUDE_FT","ALT _ACY","DATUM","GOES_IDENTIFR","N_1_0","N_1_1","NWS_LOC_NAME","USGS_LOC_NAME","Area_km2","area_below_1000km2","DRAINAGE_AREA_KM2"
22845923,"RCIA4",NA,"072632982","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","Y",NA,4.96,"34 55 48","92 35 35",34.93,-92.5930556,"S","NAD83","472","5","NAVD88","D120368E","Y","Y","REECE CREEK AT LITTLE ITALY AR","Reece Creek at Little Italy  AR","12.8463504","12.8463504",12.846350399999999
22848029,"MAUA4",NA,"07263300","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,137,"34 51 47","92 29 07",34.86305556,-92.4852778,"S","NAD83",NA,NA,NA,"173DE50E","Y","Y","MAUMELLE RIVER AT MAUMELLE DAM AT NATURAL STEPSAR","Maumelle River at Maumelle Dam at Natural Steps AR","354.82863","354.82863",354.82863
22846695,"ROCA4",NA,"07263580","11110207","ABRFC","KERRPBF","LZK","ST","05","AR","A4","Y","N",NA,20.5,"34 43 27","92 21 32",34.72416667,-92.3588889,"T","NAD83",NA,NA,NA,"DE4E41E8","N","N","ROCK CREEK AT 36TH STREET AT LITTLE ROCK AR","Rock Creek at 36th Street at Little Rock  AR","53.094795","53.094795",53.094795
938020696,"LONA4",NA,"07264000","08020402","ABRFC",NA,"LZK","ST","05","AR","A4","Y","N",NA,207,"34 44 12","91 54 57",34.73666667,-91.9158333,"T","NAD83","199.11","0.01","NGVD29","DE4E529E","Y","Y","BAYOU METO NEAR LONOKE AR","Bayou Meto near Lonoke  AR","536.12793","536.12793",536.12793
3745908,"DQNA4","Y","07339500","11140109","ABRFC","ARCFUL","SHV","ST","05","AR","A4","Y","N",NA,182,"34  2 51","94 24 46",34.0475,-94.4127778,"T","NAD83","306","14","NAVD88","CE704AA6","N","N","ROLLING FORK NEAR DEQUEEN AR","Rolling Fork near DeQueen  AR","471.37818","471.37818",471.37818
3746094,"VVRA4",NA,"07340300","11140109","ABRFC","ARCFUL","LZK","ST","05","AR","A4","Y","Y","Y",89.6,"34 22 48","94 14 11",34.38,-94.2363889,"T","NAD83","786","14","NAVD88","176CB3CA","Y","Y","COSSATOT RIVER NEAR VANDERVOORT AR","Cossatot River near Vandervoort  AR","232.063104","232.063104",232.06310399999995
3745924,"DEQA4","Y","07340500","11140109","ABRFC","ARCFUL","SHV","ST","05","AR","A4","Y","N",NA,361,"34  2 42","94 12 45",34.045,-94.2125,"1","NAD83","381","14","NAVD88","CE704474","N","N","COSSATOT RIVER NEAR DEQUEEN AR","Cossatot River near DeQueen  AR","934.98639","934.98639",934.9863899999999
3746182,"DIRA4","Y","07341000","11140109","ABRFC","ARCFUL","SHV","ST","05","AR","A4","Y","N",NA,124,"34  5 46","94  5 06",34.0961111,-94.085,"T","NAD83","353.09","0.01","NGVD29","DE3FD3DC","N","N","SALINE RIVER NEAR DIERKS AR","Saline River near Dierks  AR","321.15876","321.15876",321.15876
3748876,"LCKA4","Y","07341200","11140109","ABRFC","ARCFUL","SHV","ST","05","AR","A4","Y","N",NA,256,"33 57 44","94  3 42",33.9622222,-94.0616667,"T","NAD83","340","0.01","NGVD29","CE703C36","Y","Y","SALINE RIVER NEAR LOCKESBURG AR","Saline River near Lockesburg  AR","663.03744","663.03744",663.03744
15233884,"WCPA4",NA,"07358250","08040101","LMRFC",NA,"LZK","ST","05","AR","A4","Y","N",NA,0.83,"34 30 48.4","93  4 49.5",34.51344444,-93.0804167,"1","NAD83",NA,NA,NA,"176FF7CE","Y","Y","WHITTINGTON CR AT WHITT. PK AT HOT SPRINGS AR","Whittington Cr at Whitt. Pk at Hot Springs  AR","2.1496917","2.1496917",2.1496916999999995
22698054,"LANA4",NA,"07360200","08040103","LMRFC",NA,"LZK","ST","05","AR","A4","Y","Y",NA,68.4,"34 18 42","93 53 59",34.31166667,-93.8997222,"T","NAD83","727","14","NAVD88","DE3FC0AA","Y","Y","LITTLE MISSOURI RIVER NEAR LANGLEY AR","Little Missouri River near Langley  AR","177.155316","177.155316",177.155316
21956120,"SMKA4",NA,"07362100","08040201","LMRFC",NA,"SHV","ST","05","AR","A4","Y","Y","Y",385,"33 22 31","92 46 36",33.37527778,-92.7766667,"S","NAD83","97.56","0.01","NGVD29","16297DB8","Y","Y","SMACKOVER CREEK NEAR SMACKOVER AR","Smackover Creek near Smackover  AR","997.14615","997.14615",997.1461499999999
21950596,"MOCA4",NA,"07362500","08040201","LMRFC",NA,"LZK","ST","05","AR","A4","Y","Y",NA,240,"33 47 32","92 20 00",33.7922222,-92.3333333,"S","NAD83","201","16","NAVD88","DF02B28E","Y","Y","MORO CREEK NEAR FORDYCE AR","Moro Creek near Fordyce  AR","621.5976","621.5976",621.59759999999994
21921793,"SAFA4",NA,"07362579","08040203","LMRFC",NA,"LZK","ST","05","AR","A4","Y","N",NA,5.31,"34 47 44","93  0 25",34.79555556,-93.0069444,"S","NAD83",NA,NA,NA,"17DFD0EA","Y","Y","SOUTH ALUM CREEK NR JESSIEVILLE AR","South Alum Creek nr Jessieville  AR","13.7528469","13.7528469",13.752846899999998
21919761,"RFMA4",NA,"07362587","08040203","LMRFC",NA,"LZK","ST","05","AR","A4","Y","Y","Y",27,"34 47 51","92 56 02",34.7975,-92.9338889,"T","NAD83",NA,NA,NA,"DD85F74C","Y","Y","ALUM FORK SALINE RIVER NEAR REFORM AR","Alum Fork Saline River near Reform  AR","69.92973","69.92973",69.92972999999999
21926169,"SHCA4",NA,"07363400","08040203","LMRFC",NA,"LZK","ST","05","AR","A4","Y","N",NA,261,"34 13 43","92 22 21",34.2286111,-92.3725,"M","NAD83",NA,NA,NA,"17E5C4BE","Y","Y","HURRICANE CREEK BELOW SHERIDAN AR","Hurricane Creek below Sheridan  AR","675.98739","675.98739",675.9873899999999
21739202,"CHWA3","Y","09397500","15020010","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,271,"34 38 11","110 42 49",34.6364196,-110.7142957,"T","NAD83","5905.16","20","NGVD29","17C97742","Y","Y","CHEVELON FORK BELOW WILDCAT CANYON NR WINSLOW AZ","CHEVELON FORK BELOW WILDCAT CANYON  NR WINSLOW  AZ","701.88729","701.88729",701.8872899999999
21745665,"BRRA3",NA,"09398300","15020008","CBRFC",NA,"FGZ",NA,"4","AZ","A3","Y","N",NA,27.452,"34 33 19","111 11 00",34.55530427,-111.1840252,"T","NAD83","0","20","NGVD29","DD7E8060","Y","Y","CRAGIN DAM RESERVOIR NEAR PINE AZ (BLUE RIDGE)","CRAGIN DAM RESERVOIR NEAR PINE  AZ (BLUE RIDGE)","71.10040548","71.10040548",71.10040547999999
22440682,"CHRA3","Y","09497980","15060103","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","Y","Y",200,"33 49 40","110 51 20",33.8278262,-110.8562266,"T","NAD83","3200","20","NGVD29","DDF1C240","Y","Y","CHERRY CREEK NEAR GLOBE AZ","CHERRY CREEK NEAR GLOBE  AZ","517.998","517.998",517.9979999999999
20451540,"DRSA3",NA,"09502900","15060202","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,40.9,"34 49 32","112 26 38",34.8255769,-112.4446148,"S","NAD83","4430","10","NGVD29","DDDC7346","Y","Y","DEL RIO SPRINGS NEAR CHINO VALLEY AZ","DEL RIO SPRINGS NEAR CHINO VALLEY  AZ","105.930591","105.930591",105.93059099999999
20452080,"GCRA3",NA,"09502960","15060202","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,30,"34 33 07","112 27 42",34.55196864,-112.4623913,"F","NAD83","5285","10","NGVD29","DDDC304C","Y","Y","GRANITE CREEK AT PRESCOTT AZ","GRANITE CREEK AT PRESCOTT  AZ","77.6997","77.6997",77.699699999999993
20454522,"DBVA3","Y","09505350","15060202","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","Y","Y",142,"34 43 43","111 46 30",34.72863146,-111.775708,"T","NAD83","3694.38","20","NGVD29","D1141328","Y","Y","DRY BEAVER CREEK NEAR RIMROCK AZ","DRY BEAVER CREEK NEAR RIMROCK  AZ","367.77858","367.77858",367.77858
20437048,"EVDA3","Y","09507980","15060203","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,331,"34 16 35","111 38 17",34.27642068,-111.6387561,"T","NAD83","2500","10","NGVD29","DDDBF766","Y","Y","EAST VERDE RIVER NEAR CHILDS AZ","EAST VERDE RIVER NEAR CHILDS  AZ","857.28669","857.28669",857.2866899999999
20412230,"AFHA3","Y","09512450","15070102","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,175,"34 29 07","112 14 15",34.48527778,-112.2375,"T","NAD83","4400","20","NAVD88","17D9F6C8","Y","Y","AGUA FRIA RIVER NEAR HUMBOLDT AZ","AGUA FRIA RIVER NEAR HUMBOLDT  AZ","453.24825","453.24825",453.24825
